Nazwisko;Imie;Osiagniecia;Zachowanie;JP;Mat;Biol;Geog;GHP;GHH;GMM;GMP;GJP
Wojciechowski;Aleksander;8;4;3;2;3;4;37;69;12;17;48
Glac;Patryk;3;6;6;6;3;4;79;23;17;99;29
Lewita;Maksymilian;4;5;2;5;4;3;41;64;91;82;100
Kurowska;Maja;5;4;5;2;3;2;87;45;47;75;51
Lutczyk;Maciej;8;3;6;3;6;2;84;77;71;71;9
Laskowski;Maciej;1;2;4;4;5;5;20;93;68;58;23
Adamczyk;Zuzanna;7;5;6;6;2;5;80;90;62;97;3
Wolski;Aleksander;6;6;6;4;4;5;77;40;93;80;71
Dsbrowa;Szymon;4;6;5;3;5;4;65;34;51;38;65
Jackowska;Natasza;0;6;4;3;3;2;62;62;86;10;2
Korenkiewicz;Marika;8;5;4;2;4;2;70;4;92;91;21
Iwanowski;Olaf;1;2;6;5;6;4;66;78;26;98;56
Arendt;Wojciech;3;4;6;2;2;5;54;12;13;21;24
Tarkowska;Antonina;6;2;3;3;3;6;27;2;84;100;27
Murczynska;Laura;1;4;6;6;2;3;43;77;31;88;67
Kado;Monika;3;6;6;4;3;6;63;36;68;19;39
Wieczerzak;Amelia;1;2;6;4;2;2;32;18;1;56;7
Jakudczyk;Nikodem;4;3;3;2;6;2;60;64;100;38;70
Gryniewicz;Oliwier;0;6;6;5;3;2;39;66;84;47;21
Kaliszuk;Mikolaj;2;2;5;2;3;3;11;88;90;20;65
Majtas;Lucja;2;5;5;2;6;2;79;66;91;30;90
Grzesiak;Nina;5;3;6;3;3;5;15;21;66;55;90
Freda;Piotr;4;3;6;6;4;4;15;36;51;10;68
Janczynski;Nikodem;5;5;6;6;6;6;63;88;72;90;83
Kossakowska;Marika;8;3;5;5;5;6;55;10;80;8;78
Korda;Mateusz;7;3;5;4;5;6;24;82;37;7;12
Klukowska;Matylda;0;2;3;4;6;6;19;82;75;35;75
Araucz;Zuzanna;5;3;5;3;3;2;33;10;92;74;79
Kuban;Maja;4;5;5;3;4;4;94;21;58;60;36
Rutkowski;Igor;1;2;6;4;6;5;5;79;31;60;44
MaŸNiewski;Krzysztof;0;4;4;6;4;4;60;36;6;48;31
Pawlak;Jan;6;3;2;2;6;6;47;36;64;67;13
Zasowska;Agnieszka;0;5;5;3;3;4;92;58;73;53;68
Korkosz;Mateusz;3;5;4;6;6;4;70;3;92;40;41
Olczak;Kacper;5;2;4;6;5;3;78;78;90;83;63
Kaminski;Mikolaj;0;6;5;6;6;6;43;3;56;52;41
Wlodarczyk;Alicja;1;4;4;3;6;6;33;38;27;60;80
Grubba;Oskar;5;6;2;5;5;5;80;54;22;26;62
Ligman;Maksymilian;6;6;2;4;5;2;34;92;51;32;80
Filbrandt;Piotr;8;2;4;2;6;5;17;29;83;9;54
Formela;Piotr;1;5;6;4;3;2;14;49;64;36;2
D¾browski;Szymon;6;6;3;6;2;3;27;64;47;11;24
Rowinski;Jacek;3;5;3;2;6;6;77;9;73;35;96
Szymanska;Ariuna;2;5;4;4;2;5;46;15;67;56;9
Gozdalik;Oliwia;3;4;6;3;2;2;79;70;42;36;76
Pinker;Jan;3;6;3;6;2;5;25;78;36;67;37
Jaglowski;Nikodem;4;5;4;6;5;2;53;61;85;8;76
Kossakowska;Marika;7;2;4;3;6;3;13;89;20;2;36
Wendt;Amelia;3;5;5;2;5;2;25;46;91;75;91
Obarowska;Kornelia;7;6;4;5;4;6;52;32;57;58;67
Baranowska;Zuzanna;7;6;4;6;6;5;85;37;73;73;19
Bonislawska;Monika;8;3;3;4;3;5;96;17;94;90;1
JoŸWiak;Mikolaj;2;3;6;4;5;6;68;10;64;85;26
Wejner;Amelia;7;2;2;6;5;3;45;81;28;11;25
Wojcicka;Alicja;3;2;3;2;5;4;85;28;36;9;95
Koprowski;Maurycy;4;3;6;4;4;3;48;71;40;67;83
Cicherski;Szymon;0;5;6;4;4;5;70;42;47;24;40
Olitkowska;Klaudia;8;4;5;4;4;5;83;18;29;17;9
Majewski;Maciej;1;6;4;6;3;2;48;65;86;18;88
Podbereski;Jakub;4;5;3;5;5;2;70;20;38;18;65
Wójcik;Alan;2;2;6;5;2;6;74;61;24;72;41
Nowak;Latika;2;2;4;4;4;3;18;50;99;35;8
Piotrowski;Jacek;6;6;4;3;6;2;68;82;74;4;9
Bialek;Zuzanna;3;4;2;2;6;4;48;56;97;34;50
Galla;Paulina;2;5;5;5;3;2;69;49;67;20;3
Glasmann;Paula;5;2;4;5;6;4;68;37;91;56;46
Aniol;Wojciech;7;2;2;3;6;5;11;6;24;72;17
Cuper;Olga;2;2;6;2;2;4;13;7;71;64;96
Becla;Aleksander;8;4;5;5;3;4;92;71;26;42;46
Grodzki;Oskar;5;6;2;6;6;5;79;19;23;18;13
Ulwan;Anna;3;2;5;3;5;2;47;7;72;74;85
Goszczynski;Patryk;1;6;2;5;6;3;74;64;17;76;23
Bigos;Zosia;3;4;2;4;5;6;47;80;34;4;81
Waclawski;Bartosz;3;4;3;2;4;4;14;35;43;57;34
Wludyka;Alexander;7;3;3;2;6;5;84;70;57;62;1
Wizniewski;Andrzej;1;5;3;5;2;4;42;82;89;2;41
Florek;Sandra;0;6;6;4;4;3;25;40;61;59;88
Korbus;Marta;2;4;3;3;3;2;76;21;59;79;33
Piechalski;Jan;3;6;5;2;5;4;18;33;57;34;74
Potocki;Mariusz;8;4;3;2;6;5;67;34;96;61;40
Korda;Mateusz;5;4;4;6;4;5;39;12;100;47;42
Depczynski;Stanislaw;0;3;2;4;4;2;88;79;26;8;70
Erbel;Urszula;1;2;2;6;6;3;83;76;52;43;64
Kutnik;Marcin;1;6;6;3;6;4;54;50;36;23;9
Dabrowski;Szymon;0;3;4;6;3;5;49;31;34;22;76
Ciupa;Wiktoria;1;3;2;2;2;3;71;20;46;6;22
Michalak;Krzysztof;8;5;6;4;5;4;5;48;2;12;15
Mieczkowski;Krystian;7;4;3;4;6;6;27;12;19;10;66
Jaglowska;Natalia;6;2;5;3;5;3;95;12;76;52;36
Czechowska;Wiktoria;4;6;4;5;5;2;48;9;45;10;3
Domanski;Sebastian;2;5;2;4;4;4;46;58;72;83;48
Kotowska;Marianna;7;3;3;3;3;6;72;40;54;44;78
Nieradko;Kajetan;4;4;5;2;3;5;80;63;36;13;38
Mendrek;Krzysztof;7;5;3;2;5;3;89;97;66;5;68
Trawicki;Borys;8;3;5;3;6;6;98;27;75;69;29
Sobon;Filip;2;2;3;4;2;6;43;45;16;56;7
Cejnog;Kamila;7;6;6;2;3;6;19;5;76;74;16
Jazkowiec;Nadia;2;3;2;5;5;4;60;48;73;93;51
Jarosiewicz;Milosz;4;6;3;6;5;6;82;21;64;61;93
Kmiecik;Martyna;2;4;2;4;3;4;65;50;15;67;88
Kilanowska;Michalina;8;3;6;3;6;3;85;68;59;5;29
Markowiak;Leon;7;6;2;3;2;2;91;65;12;78;87
Sikora;Hubert;2;6;6;6;2;3;65;28;80;55;60
Szczuplinska;Emilia;4;4;2;3;3;5;14;4;93;36;26
Szubarczyk;Dawid;0;6;2;6;5;6;15;42;90;14;88
Krefta;Mateusz;8;5;4;4;4;3;39;45;68;26;30
Malinowski;Lukasz;3;6;3;4;3;5;86;46;9;68;39
Czerlonek;Weronika;7;4;6;6;6;2;17;16;12;54;91
Szostakowska;Dominika;4;2;4;3;5;2;68;87;48;54;39
Kaleta;Mikolaj;8;3;5;2;5;3;99;90;59;78;93
Kocur;Martyna;1;6;6;5;3;6;58;93;93;82;17
Wit;Andrzej;6;4;5;3;2;2;38;13;62;22;14
Rybienik;Igor;6;6;3;6;6;2;1;34;76;39;56
Puzlecka;Julia;3;5;3;6;2;4;91;99;61;2;52
Juralewicz;Mikolaj;3;4;6;2;2;4;2;85;51;87;27
Piwowarek;Jan;6;3;3;6;6;3;78;57;69;18;87
Jurczak;Mikolaj;3;5;4;5;6;4;64;35;42;54;15
Ogrodowczyk;Konstancja;3;2;2;4;3;5;40;28;88;11;9
Strojek;Filip;2;5;3;4;6;3;8;46;55;39;21
Zaremba;Aleksandra;2;5;3;6;3;3;86;36;76;91;19
Gorska;Oliwia;0;4;3;5;2;6;86;76;17;68;39
Garus;Paulina;8;4;5;5;4;5;7;8;77;77;21
Siemistkowska;Jagoda;8;2;6;4;3;2;77;98;4;85;63
Ulewicz;Bartosz;6;4;6;3;3;3;9;15;6;65;75
Tokarska;Antonia;0;5;3;3;3;5;27;30;23;16;21
Krupa;Mateusz;5;2;5;5;6;5;17;23;33;16;62
Swirk;Antonina;2;5;3;6;6;2;87;23;15;44;30
Kizielewicz;Michal;2;6;3;3;3;6;83;27;18;41;94
Kecler;Milena;5;5;5;2;4;5;35;16;94;87;38
Zochowska;Adriana;0;5;3;3;2;2;92;79;94;42;95
Kozlowska;Malgorzata;5;3;5;3;6;6;82;7;24;80;33
Lewandowska;Maja;6;4;6;6;4;4;94;44;96;9;97
Górlikowski;Patrick;3;5;3;6;4;2;32;50;94;52;100
Kowalska;Maria;3;2;3;5;3;6;84;53;73;7;3
Katende;Milena;2;2;5;5;5;4;88;37;50;19;28
Tokarz;Anna;7;2;3;5;5;2;26;30;96;59;28
Radosz;Julia;0;5;6;2;2;3;50;5;14;44;45
Komorowska;Michal;5;5;5;4;6;5;73;49;54;67;5
Zakrzewska;Olga;2;3;4;2;5;6;100;13;93;32;23
Zakrzewska;Ewa;6;4;4;3;2;5;52;46;54;22;42
Rohde;Jakub;2;5;6;4;6;3;88;14;98;46;66
Smoliniec;Franciszek;3;2;4;2;6;6;85;91;9;9;53
Paluchowski;Julian;3;4;4;4;3;3;93;12;63;3;60
Bialaszewski;Wiktor;0;6;3;5;6;3;67;66;56;41;26
Bielawski;Tymoteusz;4;5;6;5;2;4;65;75;95;100;89
Pawlun;Karolina;1;3;5;2;2;5;45;30;64;95;83
Zielinski;Mariusz;4;6;4;2;3;5;40;80;8;99;20
Majchrzak;Lucja;6;3;6;2;4;6;47;54;40;83;16
Koczakowska;Marta;3;2;4;5;4;6;99;60;96;89;29
Brzozowski;Wojciech;8;2;2;4;3;5;83;29;91;26;21
Jakubczyk;Natalia;0;4;3;6;5;5;5;26;6;82;94
Krol;Malgorzata;5;3;3;3;4;3;97;83;27;61;34
Bialy;Viktor;8;5;4;6;6;5;37;52;6;34;84
Drozd;Radoslaw;5;2;5;3;5;5;30;42;80;74;75
Srokowska;Helena;3;2;5;5;2;2;81;88;99;75;60
Srokowska;Iga;3;6;2;5;6;4;36;63;40;82;89
Cejman;Szymon;0;6;3;2;3;5;27;62;56;66;92
Stambuldzys;Helena;8;5;5;5;4;6;65;57;24;97;47
Adryan;Xawery;5;2;6;4;5;6;35;77;82;42;17
Kwidzinski;Marceli;3;5;5;2;3;6;47;52;43;47;3
Ostrowska;Kelly;5;2;6;3;3;5;69;15;39;69;39
Karmasz;Michal;0;3;6;4;3;6;35;41;92;96;19
Smiecinska;Antonina;1;6;6;5;3;6;8;17;37;10;56
Czecholinska;Wiktoria;2;5;6;2;5;3;44;32;4;95;55
PodraZka;Jakub;0;6;4;2;4;5;72;100;96;5;41
Kmita;Martyna;2;6;6;4;6;2;68;15;53;47;8
Gachewicz;Pola;0;3;5;2;3;6;33;86;90;78;15
Pilewski;Jan;3;2;5;3;3;4;95;25;48;27;23
Lewandowska;Ewa;0;4;5;6;3;5;66;31;5;9;38
Paliniewicz;Katarzyna;0;4;4;5;4;3;82;31;77;49;81
Lubinska;Magdalena;5;2;3;2;4;3;53;95;23;16;90
Konstanski;Michal;7;2;4;3;4;2;58;56;47;61;69
Hrywniak;Olaf;6;6;4;3;2;3;88;10;92;82;2
Warda;Bartlomiej;6;4;2;3;5;4;50;3;27;70;25
D¾browski;Stefan;8;2;5;3;2;3;93;98;43;97;90
Mrozek;Lena;6;4;4;5;2;4;41;62;60;18;83
Drapinska;Weronika;3;2;3;4;2;4;90;26;50;74;53
Dawidowska;Weronika;4;4;3;2;3;2;31;59;7;38;24
Lesiak;Maksymilian;6;6;6;2;3;2;56;34;52;30;94
Szarmach;Ewa;0;3;6;4;6;3;13;42;23;14;73
Burghard;Zofia;2;3;6;6;4;4;61;3;88;72;84
Michalska;Lena;6;4;4;2;4;2;30;28;30;66;98
Mezynska;Lena;4;4;4;6;6;2;80;75;57;43;92
Kaminska;Monika;2;4;5;2;5;2;26;69;46;57;91
Edel;Vanessa;4;3;5;5;3;3;5;44;37;5;62
Gadomska;Pola;6;3;5;5;2;6;56;90;35;68;48
Bieniasz;Zuzanna;4;3;6;2;3;3;7;15;62;9;43
Kozlowski;Mateusz;3;6;6;6;4;5;27;73;63;14;72
Karewicz;Michal;1;6;5;2;2;3;70;59;15;13;66
Hinca;Olaf;5;3;5;3;5;3;52;65;48;58;48
Mielcarz;Lena;5;2;2;2;4;2;27;64;22;32;91
Zebrowski;Adam;1;3;3;2;5;2;84;92;92;81;68
Janik;Natalia;4;5;4;4;2;6;75;22;91;31;93
Radziun;Jakub;2;4;4;6;5;4;35;77;81;17;27
Stawirej;Hanna;7;5;4;3;3;2;2;88;61;2;49
Brankiewicz;Anna;7;6;5;3;3;3;71;55;33;97;73
Wojniusz;Aleksander;5;5;6;4;5;5;53;97;28;88;87
Borowiec;Tymon;0;5;5;3;4;4;73;67;18;84;75
Kuszner;Maja;3;6;2;2;5;2;97;40;41;46;59
Pawlowski;Jan;7;4;4;6;5;5;10;32;73;96;29
Boleski;Tymon;3;2;5;5;4;5;91;53;13;58;75
GnieŸDzinska;Patrycja;5;4;6;5;2;3;21;48;45;1;51
Gazarkiewicz;Paulina;2;2;5;2;4;4;83;28;43;19;83
Gawinkowski;Pawel;2;4;4;3;3;6;97;80;54;78;43
Lendzion;Maja;2;5;2;3;5;2;26;31;88;98;45
Skrzek;Izabela;7;6;4;5;4;3;17;54;78;68;41
Reda;Jakub;0;2;5;3;6;6;5;93;4;59;71
Krolikowska;Malgorzata;3;5;3;3;6;4;78;80;56;31;81
Szydlowski;Daniel;6;6;6;4;6;4;64;18;23;81;18
Sawicka;Julia;2;4;3;5;2;3;96;32;73;7;74
Jakubiak;Natalia;6;6;5;5;3;6;85;35;70;99;85
Maciejewski;Maciej;4;2;4;5;4;2;17;17;92;6;64
Kachniarz;Mikolaj;4;2;4;2;5;4;62;3;84;48;94
Pluzinska;Kaja;4;5;5;6;2;3;35;49;59;44;68
Domachowska;Weronika;7;3;6;2;6;5;20;58;93;53;35
Skrodzki;Gabriel;5;6;2;3;4;3;2;97;14;81;38
Skoropinski;Gabriel;4;6;2;6;4;5;98;42;49;83;32
Zak;Agata;7;5;5;4;5;6;97;45;42;25;51
Hildebrandt;Nikola;8;3;2;2;4;2;54;48;35;28;35
Papciak;Jaroslaw;5;2;6;3;2;5;35;56;6;84;54
Malanowski;Lukasz;0;2;5;6;6;3;36;94;52;50;57
Osojca;Kinga;2;3;2;2;5;6;100;48;88;48;8
Szulfer;Daria;1;3;4;3;5;6;89;70;58;39;43
Konieczka;Marta;0;6;2;2;6;2;21;80;59;35;12
Komasinska;Marta;1;3;2;5;4;4;38;5;69;94;25
Gajdecka;Paulina;8;4;5;4;5;3;24;47;99;64;11
Galikowska;Paulina;3;5;2;4;5;4;48;100;7;64;74
Piotrowski;Jan;8;3;5;2;4;6;46;88;1;49;84
Przestrzelski;Jakub;3;5;4;4;6;4;77;80;44;96;10
Schmidtke;Joanna;8;3;5;3;5;3;28;5;29;7;19
Romanowska;Julia;0;5;5;4;5;5;100;100;68;69;46
Smoliniec;Iwa;0;6;6;3;4;3;86;20;40;37;24
Kukulski;Mateusz;8;2;4;3;2;4;37;45;53;100;63
Wakuluk;Angelika;5;2;4;5;2;4;63;100;26;46;85
Wabiszewska;Aniela;3;3;3;6;3;2;62;92;75;30;86
Bialowss;Wiktor;6;4;2;4;4;6;16;19;66;96;61
Laskowski;Jacek;4;5;4;4;2;2;71;99;56;2;43
Gondek;Oliwia;8;2;6;2;6;5;62;49;45;42;53
Górski;Oskar;2;3;2;5;5;2;44;30;61;13;30
Szlage;Dominik;5;6;5;3;2;4;55;18;46;82;71
Stiewa;Gabriela;5;2;5;6;3;3;23;10;99;23;4
Janiszewska;Natalia;5;4;3;5;6;2;72;22;90;8;61
Orlowski;Kacper;3;3;6;2;4;6;95;18;32;67;36
Kulik;Marek;5;5;5;5;5;3;99;47;3;6;59
Szymaniak;Bianka;5;5;3;4;5;2;97;87;7;93;19
Soja;Filip;3;6;6;6;2;5;57;44;90;33;78
Macholla;Maciej;2;4;5;3;2;2;35;82;52;15;51
Duchcik;Victoria;1;5;5;6;4;6;19;32;74;31;58
Subocz;Emma;0;5;2;2;5;3;45;52;32;42;33
Matusiewicz;Ksawery;8;5;6;2;4;3;78;38;62;45;55
Czapkowski;Jaroslaw;6;4;2;6;2;6;20;92;44;89;79
Cudzilo;Urszula;4;2;2;4;3;3;36;79;62;8;47
Frost;Piotr;0;2;2;4;2;4;24;81;74;4;92
Tylec;Bartosz;3;3;5;6;4;3;68;76;21;59;66
Niewierowska;Laura;4;3;2;4;4;5;70;34;18;27;70
Bankowski;Wojciech;2;4;2;4;5;2;9;76;35;83;13
Stopinska;Gabriela;6;2;4;2;3;2;63;31;2;74;15
Odya;Kacper;4;6;3;5;4;4;15;57;64;60;60
Jaroszek;Milosz;6;4;4;2;2;2;26;6;12;71;85
Deszcz;Simon;5;6;2;4;4;3;3;8;22;75;52
Bujalski;Tobiasz;0;5;2;4;4;4;68;77;39;95;42
Kowalina;Mateusz;4;4;3;2;5;4;65;42;95;95;95
Broner;Maria;6;2;2;2;2;4;32;39;61;67;14
Kozlowski;Mateusz;8;3;5;6;3;5;7;96;85;8;46
Majsik;Lukasz;7;5;5;5;2;2;35;95;11;36;19
Borkowski;Tomasz;1;4;4;6;3;4;73;61;49;70;52
Górecki;Patryk;8;2;5;2;2;6;52;90;95;83;23
Zielinski;Adam;8;5;6;5;6;5;5;84;88;35;40
Zawisza;Agnieszka;5;4;6;2;3;4;53;57;30;7;52
Gerygk;Patryk;4;2;4;5;5;4;52;73;12;3;7
Gerono;Pawel;7;4;3;2;5;5;41;23;84;93;6
Dsbkowska;Weronika;3;3;4;4;5;5;44;90;71;41;60
