"id_klienta"	"imie"	"nazwisko"	"prefix_nip"	"NIP"	"wojewodztwo"	"kod"	"miejscowosc"	"ulica"	"nr_domu"
"AdBr3700"	"Adelina"	"Brycinski"	264	"264-568-43-49"	"slaskie"	"25-735"	"Wroclaw"	"ul. A8"	99
"AdBu6843"	"Adolfina"	"Buszmann"	405	"405-139-42-41"	"dolnoslaskie"	"37-220"	"Hludno"	"Bulw. Marynarzy Okretow Pogranicza"	6
"AdCh13603"	"Adria"	"Chlopus"	714	"714-193-56-53"	"mazowieckie"	"32-329"	"Inowroclaw"	"Rynek Glowny"	87
"AdKa8930"	"Adolfa"	"Karczynowska"	501	"501-969-43-33"	"lodzkie"	"66-400"	"Inowroclaw"	"Al. II Jana Pawla"	40
"AdKr12120"	"Ada"	"Kruciel"	645	"645-138-59-410"	"mazowieckie"	"20-111"	"Krakow"	"Rondo Zeslancow Syberyjskich"	132
"AdMa19054"	"Adaukt"	"Marosa"	957	"957-393-56-75"	"malopolskie"	"99-322"	"Bydgoszcz"	"Skw. Kotowicza Jana Stefana (Pulkownika Jana Stefana Kotowicza)"	77
"AdMa6707"	"Adaukt"	"Maciejkow"	398	"398-795-33-62"	"kujawsko-pomorskie"	"64-610"	"Przeradz Wielki"	"Os. Zachry"	7
"AdMe7292"	"Ada"	"Merkiewicz"	424	"424-869-52-56"	"mazowieckie"	"09-550"	"Bydgoszcz"	"ul. 28 Czerwca 1956 R."	86
"AdMu2795"	"Adrianna"	"Murmydlowski"	223	"223-937-38-94"	"swietokrzyskie"	"23-310"	"Poznan"	"Al. zolnierzy I Armii Wojska Polskiego"	68
"AdNa11476"	"Adrianna"	"Najdzianowicz"	615	"615-336-17-66"	"podkarpackie"	"30-735"	"Warszawa"	"Pl. Mariacki"	91
"AdRa11043"	"Adria"	"Radoniec"	596	"596-799-32-47"	"zachodniopomorskie"	"43-100"	"Maly Garc"	"ul. Asnyka Adama"	115
"AdRa12111"	"Adaukt"	"Rajczakowski"	644	"644-736-36-12"	"podkarpackie"	"37-413"	"Suchowola"	"ul. 3 Maja"	99
"AdRe14212"	"Adela"	"Rebs"	739	"739-987-32-710"	"dolnoslaskie"	"67-210"	"Poznan"	"Bulw. Zacisze"	97
"AdSe19548"	"Adamina"	"Sekulicz"	979	"979-756-21-810"	"warminsko-mazurskie"	"01-361"	"Bielsko-Biala"	"ul. Armii Krajowej"	77
"AdSk4813"	"Adalbert"	"Skurat"	314	"314-482-99-61"	"dolnoslaskie"	"41-710"	"lodz"	"Al. swierkowa"	68
"AdSt18189"	"Adolfa"	"Stamma"	918	"918-846-35-98"	"wielkopolskie"	"25-021"	"Opole"	"Al. Pilsudskiego Jozefa"	5
"AdWa18073"	"Adrianna"	"Wanke"	913	"913-826-79-78"	"dolnoslaskie"	"02-761"	"Gory Zlotnickie"	"Al. Sikorskiego Wladyslawa (Generala Wladyslawa Sikorskiego)"	19
"AgAn13347"	"Agenor"	"Angermuller"	701	"701-982-11-81"	"slaskie"	"92-728"	"Bydgoszcz"	"Bulw. Ikara"	141
"AgCz8358"	"Agrypina"	"Czgowiec"	475	"475-495-73-82"	"malopolskie"	"10-841"	"Bydgoszcz"	"ul. Baltycka"	21
"AgGo19918"	"Agata"	"Gornisewicz"	996	"996-456-63-83"	"dolnoslaskie"	"99-120"	"Smolak"	"ul. Astronomow"	87
"AgPi19586"	"Aga"	"Pihulak"	982	"982-539-86-34"	"slaskie"	"05-280"	"Wroclaw"	"Al. Grunwaldzka"	55
"AgSz2024"	"Agapit"	"Szimpf"	189	"189-721-26-61"	"zachodniopomorskie"	"27-650"	"Zabrze"	"ul. Akacjowa"	47
"AgWa14418"	"Agenor"	"Wawrzynosek"	751	"751-512-96-310"	"podlaskie"	"99-205"	"Walbrzych"	"Os. Lecha"	105
"AlAs10937"	"Alicja"	"Asciszewska"	592	"592-625-15-66"	"malopolskie"	"44-300"	"Lipa"	"Pl. Kosciuszki Tadeusza"	62
"AlBe17122"	"Alojza"	"Belczynski"	869	"869-341-64-43"	"warminsko-mazurskie"	"14-204"	"Brodowa Gora"	"ul. Abrahama Antoniego"	130
"AlBo1785"	"Alban"	"Borezinska"	179	"179-183-29-43"	"pomorskie"	"08-103"	"Tarnow"	"Al. Solidarnosci"	85
"AlBo3594"	"Albert"	"Boesa"	259	"259-321-93-26"	"lubuskie"	"31-478"	"Bieniow"	"Pl. zeromskiego Stefana"	112
"AlCz1396"	"Aldona"	"Czernucha"	163	"163-147-52-91"	"dolnoslaskie"	"08-480"	"Owadow"	"ul. Bajeczna"	110
"AlCz3315"	"Albina"	"Czwik"	245	"245-327-64-42"	"opolskie"	"20-425"	"Tychy"	"ul. Baczynskiego Krzysztofa Kamila"	112
"AlDe13194"	"Aleksy"	"Dekucka"	694	"694-559-91-810"	"mazowieckie"	"92-116"	"Jastrzebie-Zdroj"	"Os. Kopernika Mikolaja"	4
"AlDo16183"	"Alma"	"Dowgalak"	827	"827-275-83-47"	"opolskie"	"73-110"	"Krakow"	"ul. 1 Maja"	84
"AlHy7333"	"Ali"	"Hychowski"	426	"426-818-34-30"	"dolnoslaskie"	"97-220"	"lodz"	"ul. Agnieszki"	33
"AlIk6641"	"Aldona"	"Ikeda"	395	"395-934-51-88"	"mazowieckie"	"44-187"	"Lublin"	"Droga Pomorska"	7
"AlKo6312"	"Albertyna"	"Korcaba"	381	"381-351-38-45"	"lodzkie"	"90-229"	"Rybnik"	"ul. Albanska"	31
"AlKo667"	"Aleksander"	"Kocor"	129	"129-352-12-410"	"lodzkie"	"05-306"	"Warszawa"	"ul. Asnyka Adama"	65
"AlMe2515"	"Aleksy"	"Meins"	211	"211-561-29-22"	"dolnoslaskie"	"32-600"	"Sarnowek"	"Pl. Nowy Targ"	136
"AlSt19429"	"Albrecht"	"Staus"	974	"974-892-79-99"	"lodzkie"	"51-692"	"Krakow"	"Rondo Broniewskiego Wladyslawa"	31
"AlSt6727"	"Aleksandra"	"Strojk"	399	"399-459-15-89"	"kujawsko-pomorskie"	"86-320"	"Pawlowka"	"Os. Sloneczne"	67
"AlSz11091"	"Alfonsyna"	"Szmat"	598	"598-965-84-29"	"slaskie"	"41-300"	"Krakow"	"ul. Bajkowa"	6
"AlSz3923"	"Alicja"	"Szawrocka"	274	"274-237-39-21"	"swietokrzyskie"	"21-100"	"Jaworzno"	"ul. 36 Pulku Piechoty Legii Akademickiej"	153
"AlZe5263"	"Alma"	"Zenke"	335	"335-477-98-44"	"mazowieckie"	"35-102"	"Warszawa"	"Skw. Kotowicza Jana Stefana (Pulkownika Jana Stefana Kotowicza)"	143
"AmBi12972"	"Amiceta"	"Bidka"	683	"683-715-55-77"	"mazowieckie"	"71-102"	"Pasek"	"Os. Poludnie"	150
"AmBo14777"	"Amanda"	"Boyl"	765	"765-965-53-66"	"kujawsko-pomorskie"	"66-614"	"Jelenia Gora"	"Pl. Na Rozdrozu"	112
"AmCh14296"	"Amanda"	"Chwiesiak"	744	"744-989-22-26"	"mazowieckie"	"84-223"	"Warszawa"	"ul. Baltycka"	22
"AmCh7118"	"Amiceta"	"Chursowicz"	416	"416-746-46-76"	"slaskie"	"06-456"	"Szczecin"	"ul. 1 Maja"	34
"AmDu1248"	"Amelia"	"Durzynski"	157	"157-218-77-73"	"opolskie"	"11-041"	"Kobylniki"	"ul. 3 Maja"	36
"AmJa19801"	"Amon"	"Jambrozek"	992	"992-313-45-37"	"lodzkie"	"75-680"	"Warszawa"	"Al. Witosa Wincentego"	99
"AmMa1597"	"Amiceta"	"Majran"	172	"172-774-18-63"	"lubuskie"	"17-132"	"Czlopy"	"Al. Zjednoczenia"	39
"AmMa2748"	"Ambrozy"	"Marszewski"	221	"221-924-54-72"	"zachodniopomorskie"	"00-939"	"Cygany"	"Pl. Mariacki"	70
"AmSc18676"	"Amanda"	"Schmidtschen"	941	"941-474-14-30"	"malopolskie"	"58-500"	"Stary Dzikow"	"Al. Pilsudskiego Jozefa (Marszalka Jozefa Pilsudskiego)"	102
"AmSz6523"	"Amos"	"Szyller"	391	"391-188-74-46"	"kujawsko-pomorskie"	"16-050"	"Lesny Dwor"	"Os. Witosa Wincentego"	28
"AmTo16474"	"Amadeusz"	"Tobulski"	839	"839-947-82-60"	"podlaskie"	"97-415"	"Jastrzebia"	"Al. Niepodleglosci"	30
"Amzw15084"	"Amon"	"zwonek"	778	"778-944-18-44"	"zachodniopomorskie"	"09-320"	"Sulejowek"	"Rondo Giedroycia Jerzego"	145
"AnAn7394"	"Andonik"	"Andryszowska"	429	"429-331-59-89"	"podlaskie"	"64-234"	"Czestochowa"	"ul. 4 Dywizji Wojska Polskiego"	71
"AnBe4870"	"Anastazja"	"Bendaruk"	316	"316-625-92-29"	"mazowieckie"	"17-100"	"Stawek"	"Pl. Wiosny Ludow"	138
"AnBo8690"	"Anita"	"Boklak"	491	"491-544-86-90"	"podkarpackie"	"19-104"	"Wielki Medromierz"	"Os. Kazimierzowskie"	4
"AnCi6725"	"Aniela"	"Cierbi"	399	"399-423-12-410"	"slaskie"	"71-001"	"Jastrzebia"	"Al. Grunwaldzka"	36
"AnDi15349"	"Anastazja"	"Ditel"	791	"791-352-15-410"	"mazowieckie"	"01-910"	"Gonty"	"Skw. 750-Lecia"	25
"AnFa14964"	"Anita"	"Faryniak"	774	"774-296-59-710"	"swietokrzyskie"	"40-749"	"lodz"	"ul. Akacjowa"	119
"AnGu1744"	"Aniceta"	"Gurowicz"	177	"177-843-69-28"	"podlaskie"	"64-400"	"Daszyna"	"ul. 11 Listopada"	7
"AnHo8462"	"Angela"	"Hol"	479	"479-572-92-44"	"wielkopolskie"	"37-723"	"Nowa Wrona"	"Os. Jagiellonskie"	44
"AnKa11656"	"Angela"	"Kawlas"	623	"623-816-12-64"	"mazowieckie"	"38-311"	"swietochlowice"	"Pl. Hutniczy"	61
"AnKr11727"	"Angela"	"Krusiec"	626	"626-422-56-58"	"slaskie"	"63-840"	"Bialystok"	"ul. Arsenalska"	115
"AnMa19569"	"Andron"	"Malgorzata"	981	"981-843-82-58"	"slaskie"	"62-110"	"Ceranow"	"Al. Zaglebia Dabrowskiego"	105
"AnMu13151"	"Andrzej"	"Mufka"	692	"692-878-34-11"	"slaskie"	"68-113"	"Grudziadz"	"ul. 3 Maja"	28
"AnNo11931"	"Angelus"	"Nowyj"	636	"636-614-96-36"	"kujawsko-pomorskie"	"83-333"	"Krakow"	"Pl. Nowy Kleparz"	44
"AnPi9973"	"Anatolia"	"Pisaruk"	546	"546-966-22-73"	"lodzkie"	"98-220"	"Koryta"	"ul. Armii Krajowej"	2
"AnPy19094"	"Anicet"	"Pychewicz"	958	"958-875-15-42"	"mazowieckie"	"01-353"	"Sztum"	"ul. Baltycka"	88
"AnRe8028"	"Anicet"	"Regnowski"	458	"458-844-61-67"	"mazowieckie"	"85-300"	"Ujazd"	"Al. Roz"	78
"AnSa13219"	"Andromeda"	"Sachno"	695	"695-493-21-32"	"wielkopolskie"	"81-154"	"Poznan"	"ul. Asnyka Adama"	110
"AnSe2062"	"Anatolia"	"Sempruch"	192	"192-145-84-73"	"lubelskie"	"48-303"	"Gdansk"	"ul. Archimedesa"	139
"AnSi6013"	"Aneta"	"Siostrzynkowski"	367	"367-115-91-66"	"dolnoslaskie"	"81-836"	"Lubominek"	"ul. Aptekarska"	16
"AnSt1978"	"Anna"	"Strozyk"	187	"187-929-49-93"	"slaskie"	"64-125"	"Radom"	"Pl. Cukrowni"	5
"AnSt7195"	"Angelus"	"Stepanowicz"	421	"421-277-21-69"	"kujawsko-pomorskie"	"11-500"	"Preczki"	"Os. Zamkowe"	1
"AnSz4745"	"Anna"	"Szalaga"	311	"311-678-18-11"	"lubuskie"	"03-641"	"Warszawa"	"Pl. Gedymina"	12
"AnSz4943"	"Anastazja"	"Szperko"	319	"319-959-96-28"	"opolskie"	"98-260"	"Chrapanow"	"ul. Babickiego Jozefa"	19
"AnWi9220"	"Anastazja"	"Witstok"	513	"513-935-77-85"	"wielkopolskie"	"35-114"	"Lublin"	"Rynek Nowego Miasta"	85
"ApHu13265"	"Apolonia"	"Hupert"	697	"697-528-37-610"	"zachodniopomorskie"	"93-213"	"Radom"	"ul. 22 Stycznia"	86
"ArBi8582"	"Arleta"	"Bidzowska"	485	"485-924-39-22"	"wielkopolskie"	"19-104"	"Jaworzno"	"Pl. Wiosny Ludow"	148
"ArDr2004"	"Ariadna"	"Drotler"	189	"189-138-35-45"	"malopolskie"	"44-200"	"Dmochy-Rogale"	"Al. Jana Pawla II"	81
"ArKo3606"	"Arkady"	"Kolwas"	259	"259-899-87-11"	"mazowieckie"	"87-645"	"Legnickie Pole"	"Pl. Slowianski"	147
"ArMr10482"	"Arletta"	"Mrula"	572	"572-147-96-33"	"lubelskie"	"27-400"	"Tobolice"	"Pl. Purkopa Bernarda"	90
"ArMr17909"	"Arleta"	"Mrozow vel Mrozowski"	906	"906-129-12-90"	"pomorskie"	"26-610"	"Zabrnie Gorne"	"Os. Klimzy"	83
"ArOp14241"	"Areta"	"Opielowski"	742	"742-381-86-16"	"mazowieckie"	"47-370"	"Szynczyce"	"ul. 11 Listopada"	24
"ArSi18584"	"Arystarch"	"Sildatk"	936	"936-457-78-23"	"dolnoslaskie"	"30-529"	"Zielona Gora"	"ul. 3 Maja"	75
"ArSz6585"	"Ariadna"	"Sztoltman"	393	"393-246-67-38"	"wielkopolskie"	"66-007"	"Brzeziny"	"ul. Agaty"	46
"ArZa11822"	"Arkady"	"Zajdak"	631	"631-735-15-91"	"podkarpackie"	"95-010"	"Sosnowiec"	"ul. Artyleryjska"	62
"ArZi173"	"Ariel"	"Ziem"	107	"107-718-74-50"	"malopolskie"	"11-036"	"Konczyce"	"ul. Antoniukowska"	22
"AsCh7732"	"Aspazja"	"Chodenko"	446	"446-497-97-48"	"podkarpackie"	"66-440"	"Jaslo"	"ul. 1 Maja"	119
"AsIs13129"	"Aspazja"	"Isaakson"	691	"691-877-69-49"	"lubelskie"	"26-804"	"Gdynia"	"Al. Slowackiego Juliusza"	10
"AsJo14289"	"Asenat"	"Jocko"	744	"744-917-38-62"	"wielkopolskie"	"28-366"	"Katowice"	"ul. Aroniowa"	30
"AsKa7693"	"Asteria"	"Kalmuk"	445	"445-179-51-91"	"lodzkie"	"33-111"	"Zelczyna"	"Pl. Targalskiego Wladyslawa"	124
"AsNe13740"	"Asteria"	"Neminiarz"	721	"721-425-46-87"	"kujawsko-pomorskie"	"06-210"	"Sosnowiec"	"ul. Armii Krajowej"	1
"AsPo8322"	"Asteriusz"	"Polgesek"	473	"473-911-34-610"	"podlaskie"	"87-810"	"Lublin"	"Al. Popieluszki Jerzego (Ksiedza Jerzego Popieluszki)"	139
"AsSk11771"	"Asteriusz"	"Skrypiczajko"	628	"628-379-27-14"	"lodzkie"	"54-311"	"Bialystok"	"ul. Armii Krajowej"	141
"AtCe6857"	"Atanazy"	"Cembowska"	405	"405-543-32-45"	"slaskie"	"93-571"	"Gdynia"	"ul. 700-Lecia"	109
"AtMa3699"	"Atanazja"	"Maniarak"	264	"264-532-67-91"	"opolskie"	"41-503"	"Milinow"	"ul. Admiralska"	134
"AtSl16374"	"Atanazja"	"Slaz"	835	"835-774-85-94"	"podlaskie"	"41-300"	"Chyze"	"Pl. Kosciuszki Tadeusza"	59
"AuBe4558"	"Aurelia"	"Bentowski"	302	"302-711-61-610"	"mazowieckie"	"71-886"	"Kluczbork"	"Al. Pilsudskiego Jozefa (Marszalka Jozefa Pilsudskiego)"	57
"AuBr5040"	"August"	"Brywik"	324	"324-911-76-67"	"lodzkie"	"99-320"	"Guzow-Kolonia"	"Os. Lesniczowka"	36
"AuCh8303"	"Augusta"	"Chwestowicz"	472	"472-917-93-44"	"mazowieckie"	"85-872"	"Gliwice"	"Al. Jana Pawla II"	107
"AuDr11799"	"August"	"Dreslerski"	629	"629-594-86-62"	"opolskie"	"98-331"	"lodz"	"Al. Wojska Polskiego"	130
"AuDr14847"	"Augustyna"	"Droppo"	768	"768-668-89-70"	"zachodniopomorskie"	"41-800"	"Woziwoda"	"ul. Alfreda Nobla"	91
"Aulo12861"	"Augustyna"	"lobza"	678	"678-643-69-31"	"lubelskie"	"41-200"	"Lwowek"	"Pl. Warynskiego Ludwika"	31
"Ausm14602"	"Augustyna"	"smikiel"	758	"758-176-17-14"	"podkarpackie"	"07-200"	"Bielsko-Biala"	"ul. 11 Listopada"	141
"AxDy3648"	"Axel"	"Dymitrus"	262	"262-365-27-15"	"zachodniopomorskie"	"35-604"	"Siemiatycze-Stacja"	"Al. Rzeczypospolitej"	10
"AxRe18435"	"Axel"	"Rekert"	931	"931-177-51-27"	"lubelskie"	"31-123"	"lodz"	"Al. Pilsudskiego Jozefa (Marszalka Jozefa Pilsudskiego)"	43
"BaAr12554"	"Bazyl"	"Areszta"	664	"664-827-29-39"	"zachodniopomorskie"	"62-650"	"Poznan"	"ul. Australijska"	113
"BaBy6849"	"Bartosz"	"Byswianiec"	405	"405-236-45-32"	"slaskie"	"92-701"	"Wystep"	"ul. 3 Maja"	114
"BaCi231"	"Bazyl"	"Ciemciura"	109	"109-929-87-74"	"wielkopolskie"	"80-850"	"Katowice"	"Os. Pod Lipami"	133
"BaGr3278"	"Barabasz"	"Grymzel"	243	"243-863-74-33"	"kujawsko-pomorskie"	"40-129"	"Dynak"	"Al. Kopernika Mikolaja"	155
"BaGr8500"	"Bazyl"	"Grabianowski"	482	"482-487-66-35"	"slaskie"	"17-210"	"Czestochowa"	"Os. Hologowka"	134
"BaKa10356"	"Batszeba"	"Kanunczyk"	565	"565-455-16-78"	"wielkopolskie"	"14-140"	"Grodek"	"Pl. Kosciuszki Tadeusza"	18
"BaKo7857"	"Barnaba"	"Kociewicz"	452	"452-782-86-38"	"slaskie"	"47-143"	"Gorki"	"Al. Wlokniarzy"	124
"BaMy1439"	"Bartolomea"	"Mysliwczyk"	164	"164-761-17-56"	"slaskie"	"22-107"	"Wroclaw"	"Pl. Dworcowy"	88
"BaOg12515"	"Balbina"	"Oglodzinska"	662	"662-859-31-110"	"kujawsko-pomorskie"	"16-100"	"Pruszkow"	"Al. Marzen"	64
"BaPi10085"	"Barnaba"	"Pieciula"	553	"553-176-39-86"	"zachodniopomorskie"	"21-400"	"Wolka Terechowska"	"Pl. 1 Maja"	147
"BaPi10939"	"Batszeba"	"Pisla"	592	"592-632-52-30"	"wielkopolskie"	"70-781"	"Krakow"	"Al. Kompozytorow Polskich"	93
"BaRy12782"	"Batszeba"	"Rydol"	674	"674-686-31-27"	"mazowieckie"	"27-552"	"Dzialoszyn"	"ul. 22 Stycznia"	92
"BaSu3667"	"Balbina"	"Sudomirski"	263	"263-231-24-27"	"pomorskie"	"12-100"	"Zabrze"	"Pl. Wolnosci"	25
"BaSz5932"	"Bartolomea"	"Szlichten"	363	"363-639-36-82"	"slaskie"	"28-142"	"Jastrzebie-Zdroj"	"ul. Asnyka Adama"	3
"BaSz8147"	"Balcer"	"Szurgut"	465	"465-382-68-91"	"podlaskie"	"20-089"	"Musiejowka"	"Al. Marsz. Pilsudskiego Jozefa"	88
"BaTo12583"	"Bartolomea"	"Tomesch"	666	"666-165-71-77"	"dolnoslaskie"	"09-152"	"Bytom"	"Al. Niepodleglosci"	52
"BaTy17427"	"Bazylissa"	"Tyrkiew"	882	"882-978-34-81"	"opolskie"	"93-633"	"Mikolow"	"Al. Schillera Leona"	46
"BeBe16192"	"Beatrycze"	"Bertisz"	827	"827-496-68-19"	"kujawsko-pomorskie"	"97-540"	"Grodzisko Dolne"	"ul. Arabska"	4
"BeDy15813"	"Beata"	"Dyndat"	811	"811-552-48-210"	"lubuskie"	"71-451"	"Warszawa"	"Pl. Raczynskiego Edwarda (Prezydenta Edwarda Raczynskiego)"	39
"BeGe19302"	"Bernardyn"	"Gerepa"	968	"968-865-11-42"	"pomorskie"	"01-716"	"Gdansk"	"ul. 15 Lutego"	149
"BeGi13628"	"Bertold"	"Giz"	715	"715-236-67-10"	"malopolskie"	"05-402"	"Poznan"	"ul. Admiralska"	9
"BeGo17568"	"Bernardeta"	"Gorbski"	888	"888-824-49-81"	"mazowieckie"	"31-126"	"Koszalin"	"ul. Armii Krajowej"	128
"BeGr6449"	"Benedykta"	"Grosweld"	386	"386-825-26-82"	"lubelskie"	"04-041"	"Moltajny"	"Al. Jana Pawla II"	95
"BeGr9000"	"Berno"	"Gregorzyk"	504	"504-946-25-96"	"dolnoslaskie"	"06-400"	"Gdansk"	"Al. Partyzantow"	111
"BeHa3926"	"Benita"	"Harezna"	274	"274-369-73-82"	"kujawsko-pomorskie"	"21-025"	"Gliwice"	"ul. Baletowa"	131
"BeHe14639"	"Beatryks"	"Hektowska"	759	"759-756-54-810"	"dolnoslaskie"	"42-520"	"Monki"	"ul. Armii Krajowej"	115
"BeHn9763"	"Beda"	"Hnatusko"	537	"537-867-94-83"	"pomorskie"	"31-764"	"lodz"	"Al. Unii Lubelskiej"	92
"BeJa6450"	"Bernadeta"	"Jaskowiec"	386	"386-828-21-710"	"warminsko-mazurskie"	"21-310"	"Siemiatycze"	"ul. Bardzka"	134
"BeKi6270"	"Benicjusz"	"Kipka"	378	"378-546-59-32"	"pomorskie"	"54-136"	"Kotomierz"	"ul. Alunowa"	54
"BeKo3804"	"Bedzimir"	"Kosmeda"	268	"268-911-85-35"	"podkarpackie"	"59-850"	"Gdynia"	"Al. Chopina Fryderyka"	27
"BeMa16777"	"Bernadetta"	"Manoch"	854	"854-629-65-35"	"mazowieckie"	"67-407"	"Wroclaw"	"Pl. Gwardii Ludowej"	48
"BeOb8627"	"Benedykta"	"Obertowski"	487	"487-744-78-33"	"podlaskie"	"48-300"	"Michalin"	"Al. Jana Pawla II"	72
"BePa8958"	"Benon"	"Pawelczak"	502	"502-999-81-64"	"dolnoslaskie"	"37-700"	"Jakubowice"	"Pl. Powstancow slaskich"	80
"BePr1323"	"Bernadetta"	"Pronski"	159	"159-676-87-68"	"swietokrzyskie"	"83-440"	"Aleksandria Krzywowolska"	"ul. Armii Krajowej"	109
"BePr5840"	"Beatrycze"	"Przeglo"	359	"359-312-37-62"	"zachodniopomorskie"	"64-920"	"Ustrobna"	"Al. Jana Pawla II"	141
"BeSa12582"	"Bernard"	"Sarakula"	666	"666-141-69-30"	"malopolskie"	"91-867"	"Golubie"	"ul. Akacjowa"	114
"BeSa13562"	"Benicjusz"	"Sacla"	712	"712-355-66-78"	"lodzkie"	"40-145"	"swidnica"	"Os. Dywizjonu 303"	153
"BeSi17143"	"Bernardeta"	"Sindak"	869	"869-762-21-80"	"podkarpackie"	"41-200"	"Gdynia"	"ul. Baranowicka"	133
"BeSz10000"	"Beata"	"Szewczukiewicz"	548	"548-288-47-40"	"mazowieckie"	"05-410"	"Poznan"	"Os. Rozane"	78
"BeTa5915"	"Bedzislawa"	"Tasiemski"	362	"362-854-21-27"	"podlaskie"	"42-454"	"Gdansk"	"ul. Anhellego"	47
"BeTo18519"	"Begina"	"Tolkaczew"	933	"933-998-79-81"	"lodzkie"	"39-434"	"Legnica"	"Pl. Kosciuszki Tadeusza"	3
"BeWa18627"	"Berenika"	"Waldkiewicz"	938	"938-376-42-45"	"lubelskie"	"63-400"	"Nowa Korytnica"	"Pl. XXX Lecia Prl"	121
"BeZa3345"	"Benigna"	"Zatka"	246	"246-369-89-92"	"mazowieckie"	"87-408"	"Rybnik"	"ul. Akacjowa"	151
"BiSi18663"	"Biernat"	"Sirkierski"	939	"939-965-14-710"	"podlaskie"	"07-410"	"Piotrkowice"	"ul. Antylopy"	73
"BlBo1609"	"Blandyna"	"Bokowa"	173	"173-354-43-11"	"malopolskie"	"60-003"	"Winiary Wislickie"	"ul. Armii Krajowej"	84
"BlBy5926"	"Blazej"	"Bysina"	363	"363-293-72-92"	"lodzkie"	"84-218"	"Szczecin"	"ul. Andricia Ivo"	109
"BlPo11698"	"Blandyna"	"Poganis"	625	"625-395-86-53"	"lodzkie"	"72-221"	"Szczecin"	"Pl. Komuny Paryskiej"	79
"BlSz14956"	"Blanka"	"Szemczynski"	773	"773-995-97-92"	"kujawsko-pomorskie"	"05-120"	"Kielce"	"ul. Armii Krajowej"	75
"BoBe14454"	"Boleslawa"	"Beizer"	752	"752-848-67-10"	"slaskie"	"35-230"	"Poznan"	"ul. Artylerzystow"	132
"BoBe14962"	"Boguchwal"	"Belch"	774	"774-249-65-20"	"slaskie"	"62-543"	"Jaworzno"	"ul. Architektow"	66
"BoBo12721"	"Bohusz"	"Bonderenko"	672	"672-471-35-73"	"slaskie"	"31-398"	"Bialystok"	"ul. Arkonska"	13
"BoCz18797"	"Bozyslawa"	"Czuczwara"	945	"945-963-43-89"	"lodzkie"	"14-300"	"Krzepice"	"Pl. Lasoty"	30
"BoDo14433"	"Bozeciecha"	"Dodz"	752	"752-166-79-34"	"zachodniopomorskie"	"07-300"	"Warszawa"	"Al. 1 Maja"	76
"BoFr4871"	"Borzywoj"	"Fromek"	316	"316-644-12-610"	"swietokrzyskie"	"74-240"	"Mniszki"	"Al. Sienkiewicza Henryka"	112
"BoGa14493"	"Boncza"	"Gadamer"	754	"754-232-57-88"	"zachodniopomorskie"	"41-707"	"Warszawa"	"ul. 11 Listopada"	34
"BoGr8895"	"Bogdana"	"Grulka"	499	"499-772-55-59"	"slaskie"	"55-093"	"Nysa"	"Pl. Katedralny"	115
"BoHe15350"	"Bogumir"	"Henejko"	791	"791-364-76-42"	"kujawsko-pomorskie"	"08-110"	"Wolskie"	"Al. Zbigniewa Herberta"	77
